id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
1787,sh600190,锦州港,"2015-02-19 00:00:00",200243,66,156136,72,"750,1500,3000",1.5,交通运输,港口航运,NULL,NULL,NULL,辽宁省,1
1792,sh600196,复星医药,"2015-02-19 00:00:00",320180,45,319756,45,"750,1500,3000",1.5,医药生物,生物制品,NULL,NULL,NULL,上海市,1
1804,sh600210,紫江企业,"2015-02-19 00:00:00",143658,32,143678,31,"750,1500,3000",1.5,轻工制造,包装印刷,NULL,NULL,NULL,上海市,1
1812,sh600219,南山铝业,"2015-02-19 00:00:00",193386,48,193386,48,"750,1500,3000",1.5,有色金属,有色冶炼加工,NULL,NULL,NULL,山东省,1
1813,sh600220,江苏阳光,"2015-02-19 00:00:00",178356,38,178310,38,"750,1500,3000",1.5,纺织服装,纺织制造,NULL,NULL,NULL,江苏省,1
1816,sh600223,鲁商置业,"2015-02-19 00:00:00",100098,73,100098,73,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,山东省,1
1828,sh600236,桂冠电力,"2015-02-19 00:00:00",228034,48,112814,74,"750,1500,3000",1.5,公用事业,电力,NULL,NULL,NULL,广西壮族自治区,1
1832,sh600240,华业地产,"2015-02-19 00:00:00",142470,51,142470,51,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,北京市,1
1836,sh600246,万通地产,"2015-02-19 00:00:00",121701,53,121701,53,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,北京市,1
1842,sh600252,中恒集团,"2015-02-19 00:00:00",109158,36,109158,36,"750,1500,3000",1.5,医药生物,中药,NULL,NULL,NULL,广西壮族自治区,1
1852,sh600266,北京城建,"2015-02-19 00:00:00",156663,63,106715,67,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,北京市,1
1855,sh600269,赣粤高速,"2015-02-19 00:00:00",233529,54,233529,54,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,江西省,1
1859,sh600273,嘉化能源,"2015-02-19 00:00:00",124737,58,31499,77,"750,1500,3000",1.5,公用事业,电力,NULL,NULL,NULL,浙江省,1
1861,sh600276,恒瑞医药,"2015-02-19 00:00:00",150337,62,149608,62,"750,1500,3000",1.5,医药生物,化学制药,NULL,NULL,NULL,江苏省,1
1862,sh600277,亿利能源,"2015-02-19 00:00:00",208984,81,208984,81,"750,1500,3000",1.5,综合,综合,NULL,NULL,NULL,内蒙古自治区,1
1867,sh600282,南钢股份,"2015-02-19 00:00:00",387568,86,387568,86,"750,1500,3000",1.5,黑色金属,钢铁,NULL,NULL,NULL,江苏省,1
1878,sh600295,鄂尔多斯,"2015-02-19 00:00:00",103235,56,103235,56,"750,1500,3000",1.5,采掘,石油矿业开采,NULL,NULL,NULL,内蒙古自治区,1
1882,sh600300,维维股份,"2015-02-19 00:00:00",167234,58,167234,58,"750,1500,3000",1.5,食品饮料,饮料制造,NULL,NULL,NULL,江苏省,1
